Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
8,1000,0.2,0.8,50.0,1000,34270,9084,40,50073.398438,0.000799
9,1000,0.2,0.8,50.0,1000,33510,8829,37,48875.808594,0.000757
10,1000,0.2,0.8,50.0,1000,33211,8795,38,48550.800781,0.000783
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.2,0.8,50.0,1000,28455,8979,36,49810.351562,0.000723
2,1000,0.2,0.8,50.0,1000,27620,9322,43,51033.000000,0.000843
3,1000,0.2,0.8,50.0,1000,28997,9221,43,50542.500000,0.000851
4,1000,0.2,0.8,50.0,1000,27084,9027,41,50082.000000,0.000819
5,1000,0.2,0.8,50.0,1000,28049,9104,43,50425.054688,0.000853
6,1000,0.2,0.8,50.0,1000,26711,8958,49,49689.000000,0.000986
7,1000,0.2,0.8,50.0,1000,26754,9128,35,50001.000000,0.000700
8,1000,0.2,0.8,50.0,1000,28090,9262,46,51159.000000,0.000899
9,1000,0.2,0.8,50.0,1000,26462,9135,45,50424.000000,0.000892
10,1000,0.2,0.8,50.0,1000,27942,9159,43,50658.000000,0.000849
